	id_sent	n_sent	id_article	sent
0	0	1.0	0	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.
1	1	2.0	0	The six wheels of the 2,260-pound Perseverance rover landed in Jezero Crater, a former lake bed once fed by flowing water that scientists say would have been a welcoming home for microbes in Mars' warmer, wetter past.
2	2	3.0	0	If they're right, the remains of those long-dead microbes should now reside in the sediments there.
3	3	4.0	0	Ecstatic team members in Mission Control at the Jet Propulsion Laboratory in
4	4	5.0	0	La Ca'ada Flintridge could not hug or high-five one another, as they normally would in non-pandemic times.
5	5	6.0	0	But even their doubled-up masks ' whose top layer was adorned with a stylized image of the rover ' couldn't hide the smiles on their faces as they clapped and cheered, a few feet apart.
6	6	7.0	0	Members of NASA's Mars 2020 team at JPL react after receiving confirmation that the Perseverance rover successfully touched down on Mars.
7	7	8.0	0	Some bumped fists with those around them while others shook them triumphantly in the air after mission officials confirmed the rover's landing at 12:55 p.m. 'NASA works,' said Rob Manning, JPL's chief engineer and a veteran of many Mars missions. '
8	8	9.0	0	When we put our arms together and our hands together and our brains together, we can succeed.
9	9	10.0	0	This is what we can do as a country on all of the problems we have.
10	10	11.0	0	We need to work together to do these kinds of things and make success happen.'
11	11	12.0	0	When we put our arms together and our hands together and our brains together, we can succeed.
12	12	13.0	0	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"
13	13	14.0	0	Acting NASA Administrator Steve Jurczyk said he got a call from President Biden about an hour after landing to send his regards to 'Percy' and his compliments to the team.
14	14	15.0	0	Within moments of reaching its new home, Perseverance transmitted two images of the surrounding Martian terrain. '
15	15	16.0	0	You can see the shadow of the vehicle and you can look out into the horizon, and that is just a great thing to see,' said Matt Wallace, deputy project manager for the overall Mars 2020 mission.
16	16	17.0	0	Perseverance, the star of Mars 2020, survived a hair-raising arrival procedure that's often referred to as the 'seven minutes of terror.'
